CountryName,Province,Area,HealthExpenditure,LifeExpectancy,Population,ExtraColumn
Aruba,Aruba,180,,76.01,105845,105845
Afghanistan,Afghanistan,652860,57.24876048,64.13,37172386,37172386
Angola,Angola,1246700,95.22079857,60.379,30809762,30809762
Albania,Albania,28750,271.5430426,78.333,2866376,2866376
Andorra,Andorra,470,3834.730581,,77006,77006
United Arab Emirates,United Arab Emirates,83600,1323.116803,77.647,9630959,9630959
Argentina,Argentina,2780400,955.2009489,76.372,44494502,44494502
Armenia,Armenia,29740,358.841748,74.797,2951776,2951776
American Samoa,American Samoa,200,,,55465,55465
Antigua and Barbuda,Antigua and Barbuda,440,623.1146259,76.752,96286,96286
Australia,Australia,7741220,5002.358277,82.49756098,24992369,24992369
Austria,Austria,83879.00391,4688.280204,81.64146341,8847037,8847037
Azerbaijan,Azerbaijan,86600,268.1558652,72.693,9942334,9942334
Burundi,Burundi,27830,18.46188216,60.898,11175378,11175378
Belgium,Belgium,30530,4149.385322,81.43902439,11422068,11422068
Benin,Benin,114760,30.40151289,61.174,11485048,11485048
Burkina Faso,Burkina Faso,274220,40.94095568,60.768,19751535,19751535
Bangladesh,Bangladesh,147630,34.21796766,72.052,161356039,161356039
Bulgaria,Bulgaria,111000,612.4785856,74.81219512,7024216,7024216
Bahrain,Bahrain,778.0000305,1099.362291,77.032,1569439,1569439
Bahamas. The,Bahamas. The,13880,1835.228202,73.554,385640,385640
Bosnia and Herzegovina,Bosnia and Herzegovina,51210,443.7837805,77.128,3323929,3323929
Belarus,Belarus,207600,317.9941906,74.12926829,9485386,9485386
Belize,Belize,22970,303.6048377,74.365,383071,383071
Bermuda,Bermuda,4290,,81.44195122,63968,63968
Bolivia,Bolivia,1098580,213.0173253,70.945,11353142,11353142
Brazil,Brazil,8515770,1015.934448,75.456,209469333,209469333
Barbados,Barbados,430,1163.844561,78.981,286641,286641
Brunei Darussalam,Brunei,5770,630.6293586,75.585,428962,428962
Bhutan,Bhutan,38393.99902,91.33533448,71.129,754394,754394
Botswana,Botswana,581730,379.9230078,68.812,2254126,2254126
Central African Republic,Central African Republic,622980,16.36043526,52.24,4666377,4666377
Canada,Canada,9984670,4458.214999,82.24897561,37058856,37058856
Central Europe and the Baltics,Central Europe and the Baltics,1135391.001,851.2360895,77.03396591,102511922,102511922
Switzerland,Switzerland,41290.40039,9835.963686,83.60243902,8516543,8516543
Channel Islands,Channel Islands,197.9999924,,82.766,170499,170499
Chile,Chile,756700,1190.548545,79.909,18729160,18729160
China,China,9562910,398.3315557,76.47,1392730000,1392730000
Cote d'Ivoire,Cote d'Ivoire,322460,67.57069603,57.017,25069229,25069229
Cameroon,Cameroon,475440,64.46729416,58.511,25216237,25216237
Congo (Kinshasa),Congo (Kinshasa),2344860,20.5175231,60.026,84068091,84068091
Republic of the Congo,Republic of the Congo,342000,70.37796786,63.954,5244363,5244363
Colombia,Colombia,1141748.984,340.3654688,76.925,49648685,49648685
Comoros,Comoros,1861.000061,59.00043787,63.912,832322,832322
Cabo Verde,Cabo Verde,4030,159.07351,72.57,543767,543767
Costa Rica,Costa Rica,51100,888.8537005,79.914,4999441,4999441
Caribbean small states,Caribbean small states,434990,567.2153873,73.51749249,7358965,7358965
Cuba,Cuba,109880,970.6461639,78.662,11338138,11338138
Curacao,Curacao,444,,78.01707317,159849,159849
Cayman Islands,Cayman Islands,260,,82.1902439,64174,64174
Cyprus,Cyprus,9250,1634.430922,80.672,1189265,1189265
Czechia,Czechia,78870,1321.620203,79.47560976,10625695,10625695
Germany,Germany,357580,4714.260873,80.9902439,82927922,82927922
Djibouti,Djibouti,23200,70.19033417,65.893,958920,958920
Dominica,Dominica,750,419.3659141,76.59756098,71625,71625
Denmark,Denmark,42920,5565.593425,81.00487805,5797446,5797446
Dominican Republic,Dominican Republic,48670,414.17658,73.689,10627165,10627165
Algeria,Algeria,2381740,260.4125793,76.499,42228429,42228429
East Asia & Pacific (excluding high income),East Asia & Pacific (excluding high income),16272875,313.6442455,74.9949516,2081651801,2081651801
Early-demographic dividend,Early-demographic dividend,34108218.05,157.5476507,70.2552611,3249140605,3249140605
East Asia & Pacific,East Asia & Pacific,24827743.4,638.5739056,75.86574762,2328220870,2328220870
Europe & Central Asia (excluding high income),Europe & Central Asia (excluding high income),23473611.88,371.1594066,73.39917233,417797257,417797257
Europe & Central Asia,Europe & Central Asia,28691030.98,2092.609179,77.74469037,918793590,918793590
Ecuador,Ecuador,256370,504.782482,76.584,17084357,17084357
Egypt,Egypt,1001450,130.9858695,71.656,98423595,98423595
Euro area,Euro area,2759787.593,3588.120251,81.95073042,341783171,341783171
Eritrea,Eritrea,117600,29.8912246,65.538,3213972,3213972
Spain,Spain,505935,2389.887408,83.32926829,46723749,46723749
Estonia,Estonia,45340,1185.333348,77.64146341,1320884,1320884
Ethiopia,Ethiopia,1104300,27.52365701,65.872,109224559,109224559
European Union,European Union,4384317.593,3211.398604,80.99115581,513213363,513213363
Fragile and conflict affected situations,Fragile and conflict affected situations,13147112.99,73.44211606,63.15109546,515215936,515215936
Finland,Finland,338450,4117.257782,81.42926829,5518050,5518050
Fiji,Fiji,18270,179.91157,67.252,883483,883483
France,France,549086.9922,4263.361561,82.52439024,66987244,66987244
Faroe Islands,Faroe Islands,1396.000061,,82.4,48497,48497
Micronesia. Fed. Sts.,Micronesia. Fed. Sts.,700,386.6940552,67.618,112640,112640
Gabon,Gabon,267670,220.3547089,65.839,2119275,2119275
United Kingdom,United Kingdom,243610,3958.018894,81.15609756,66488991,66488991
Georgia,Georgia,69700,308.0316512,73.414,3731000,3731000
Ghana,Ghana,238540,67.50885898,63.463,29767108,29767108
Gibraltar,Gibraltar,10,,,33718,33718
Guinea,Guinea,245860,37.45933893,60.706,12414318,12414318
Gambia. The,Gambia. The,11300,20.93043715,61.44,2280102,2280102
Guinea-Bissau,Guinea-Bissau,36130,39.05417469,57.673,1874309,1874309
Equatorial Guinea,Equatorial Guinea,28050,281.3745309,58.061,1308974,1308974
Greece,Greece,131960,1510.666713,81.38780488,10727668,10727668
Grenada,Grenada,340,516.4170466,72.388,111454,111454
Greenland,Greenland,410450,,71.24634146,56025,56025
Guatemala,Guatemala,108890,241.3522846,73.81,17247807,17247807
Guam,Guam,540,,79.631,165768,165768
Guyana,Guyana,214970,192.2736761,69.624,779004,779004
High income,High income,37227845.51,5179.674532,80.6937295,1210312147,1210312147
Hong Kong SAR. China,Hong Kong SAR. China,1110,,84.6804878,7451000,7451000
Honduras,Honduras,112490,199.5545151,74.898,9587522,9587522
Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),17874796,49.98466672,62.7486826,780234406,780234406
Croatia,Croatia,56590,884.4911137,77.82682927,4089400,4089400
Haiti,Haiti,27750,37.7231276,63.29,11123176,11123176
Hungary,Hungary,93030,942.591963,76.06341463,9768785,9768785
IBRD only,IBRD only,71348003.91,300.9392348,73.19550862,4772284113,4772284113
IDA & IBRD total,IDA & IBRD total,95945073.91,240.8608531,70.85855778,6412522234,6412522234
IDA total,IDA total,24597070,54.18994275,63.96471201,1640238121,1640238121
IDA blend,IDA blend,6055920,67.0132482,61.99688464,555830605,555830605
Indonesia,Indonesia,1913580,111.5532193,71.282,267663435,267663435
IDA only,IDA only,18541150,47.13285984,64.97329468,1084407516,1084407516
Isle of Man,Isle of Man,570,,77.96585366,84077,84077
India,India,3287259.063,62.71555407,69.165,1352617328,1352617328
Ireland,Ireland,70280,4758.594315,81.95609756,4853506,4853506
Iran,Iran,1745150,415.3911998,76.271,81800269,81800269
Iraq,Iraq,435051.9922,152.6425484,70.294,38433600,38433600
Iceland,Iceland,103000,5063.605832,82.20487805,353574,353574
Israel,Israel,22070,2837.139639,82.60243902,8883800,8883800
Italy,Italy,301340,2738.706124,83.24390244,60431283,60431283
Jamaica,Jamaica,10990,296.2461483,74.267,2934855,2934855
Jordan,Jordan,89320,223.5381988,74.292,9956011,9956011
Japan,Japan,377970,4233.033276,84.0997561,126529100,126529100
Kazakhstan,Kazakhstan,2724901.875,262.0090142,72.95,18276499,18276499
Kenya,Kenya,580370,66.20980967,65.909,51393010,51393010
Kyrgyz Republic,Kyrgyz Republic,199950,72.87788481,71.2,6315800,6315800
Cambodia,Cambodia,181040,77.67368199,69.289,16249798,16249798
Kiribati,Kiribati,810,188.0490879,67.851,115847,115847
St. Kitts and Nevis,St. Kitts and Nevis,260,930.7651831,71.33658537,52441,52441
Korea. Rep.,Korea. Rep.,100339.0039,2043.86064,82.62682927,51635256,51635256
Kuwait,Kuwait,17820,1068.323213,75.311,4137309,4137309
Latin America & Caribbean (excluding high income),Latin America & Caribbean (excluding high income),19386305.98,665.3429825,75.08345444,609013934,609013934
Lao PDR,Lao PDR,236800,55.21359284,67.277,7061507,7061507
Lebanon,Lebanon,10450,662.1270576,78.833,6848925,6848925
Liberia,Liberia,111370,68.31283566,63.295,4818977,4818977
Libya,Libya,1759540,312.5773146,72.52,6678567,6678567
Saint Lucia,St. Lucia,620,489.7613949,75.907,181889,181889
Latin America & Caribbean,Latin America & Caribbean,20425545.98,689.9746946,75.28021575,641357515,641357515
Least developed countries: UN classification,Least developed countries: UN classification,18252610,43.95553311,64.70773022,1009662578,1009662578
Low income,Low income,14079355,32.904785,63.39261016,705417321,705417321
Liechtenstein,Liechtenstein,160,,82.25853659,37910,37910
Sri Lanka,Sri Lanka,65610,153.0967841,76.648,21670000,21670000
Lower middle income,Lower middle income,20835744.06,79.40581105,68.32302436,3022905169,3022905169
Low & middle income,Low & middle income,94797353.91,234.018537,70.79658768,6383958209,6383958209
Lesotho,Lesotho,30360,85.51857328,52.947,2108132,2108132
Late-demographic dividend,Late-demographic dividend,45769685.86,469.9112367,75.99540149,2288665963,2288665963
Lithuania,Lithuania,65286.00098,987.9493137,74.67073171,2789533,2789533
Luxembourg,Luxembourg,2590,6271.437588,82.68536585,607728,607728
Latvia,Latvia,64490,874.2035772,74.6804878,1926542,1926542
Macao SAR. China,Macao SAR. China,30.39999962,,83.989,631636,631636
St. Martin (French part),St. Martin (French part),54.4,,79.72195122,37264,37264
Morocco,Morocco,446550,171.4501845,76.218,36029138,36029138
Monaco,Monaco,2,2939.844964,,38682,38682
Moldova,Moldova,33850,171.1901319,71.717,3545883,3545883
Madagascar,Madagascar,587295,24.11914971,66.311,26262368,26262368
Maldives,Maldives,300,1047.843932,78.325,515696,515696
Middle East & North Africa,Middle East & North Africa,11370619.99,437.9556099,73.90103351,448912859,448912859
Mexico,Mexico,1964375,461.7866471,74.947,126190788,126190788
Marshall Islands,Marshall Islands,180,851.3429126,65.23902439,58413,58413
